"n","mode","k","time"
1000,"block",1,11.4603057384
1000,"cyclic",1,11.5153255463
2000,"block",1,83.3188285351
2000,"cyclic",1,93.76101408
3000,"cyclic",1,302.699662066
3000,"block",1,301.701710415
4000,"cyclic",1,699.332712984
4000,"block",1,698.801330614
5000,"block",1,1369.86475129
5000,"cyclic",1,1297.74895201
1000,"cyclic",2,5.72716064453
1000,"block",2,7.88810067177
2000,"cyclic",2,41.2714650154
2000,"block",2,56.423993969
3000,"cyclic",2,161.787611055
3000,"block",2,217.947690964
4000,"cyclic",2,378.643727827
4000,"block",2,509.100706816
5000,"cyclic",2,708.660591793
5000,"block",2,990.658885527
1000,"cyclic",3,3.98486394882
1000,"block",3,5.89292564392
2000,"cyclic",3,28.3921061039
2000,"block",3,41.5717017651
3000,"cyclic",3,108.978035307
3000,"block",3,155.945472717
4000,"cyclic",3,255.293293905
4000,"block",3,380.685267925
5000,"cyclic",3,504.658762169
5000,"block",3,698.553282547
1000,"cyclic",4,3.11990542412
1000,"block",4,4.53626613617
2000,"cyclic",4,21.5712677002
2000,"block",4,31.8249800682
3000,"cyclic",4,72.6272025108
3000,"block",4,103.46441803
4000,"cyclic",4,170.22332778
4000,"block",4,252.898672485
5000,"block",4,524.123771381
5000,"cyclic",4,376.634247971
1000,"cyclic",5,2.5247443676
1000,"block",5,3.58494472504
2000,"cyclic",5,17.3691937923
2000,"block",5,25.6089315891
3000,"cyclic",5,63.6067585468
3000,"block",5,91.9064504623
4000,"cyclic",5,145.179406786
4000,"block",5,215.607218552
5000,"cyclic",5,301.64798727
5000,"block",5,415.67606349
1000,"cyclic",6,2.21902222633
1000,"block",6,3.22442140579
2000,"cyclic",6,14.7465126038
2000,"block",6,22.0901027203
3000,"cyclic",6,47.5261965752
3000,"block",6,71.134854126
4000,"cyclic",6,119.717250252
4000,"block",6,176.492533398
5000,"cyclic",6,235.04467802
5000,"block",6,362.421777868
1000,"cyclic",7,2.38913927078
1000,"block",7,2.84599580765
2000,"cyclic",7,14.154585886
2000,"block",7,20.5734776974
3000,"cyclic",7,55.5320637226
3000,"block",7,77.2758396626
4000,"cyclic",7,127.552939558
4000,"block",7,174.972986126
5000,"cyclic",7,224.863164663
5000,"block",7,299.917370319
1000,"cyclic",8,1.74105858803
1000,"block",8,2.36801600456
2000,"cyclic",8,12.9892854214
2000,"block",8,16.3452447891
3000,"cyclic",8,41.1042263508
3000,"block",8,58.8244565964
4000,"cyclic",8,107.561814117
4000,"block",8,154.228181744
5000,"block",8,285.111020947
5000,"cyclic",8,177.825631523
1000,"cyclic",9,1.78294506073
1000,"block",9,2.24359054565
2000,"cyclic",9,11.9678734303
2000,"block",9,15.5540150166
3000,"cyclic",9,38.7970142365
3000,"block",9,54.3279675961
4000,"cyclic",9,86.7960369587
4000,"block",9,125.969135237
5000,"block",9,232.152458191
5000,"cyclic",9,152.623579693
2000,"cyclic",10,9.21321549416
2000,"block",10,13.5149599552
3000,"cyclic",10,35.0510183811
3000,"block",10,48.7928143501
4000,"cyclic",10,79.6914451599
4000,"block",10,116.78788929
5000,"cyclic",10,141.6269485
5000,"block",10,216.173769808
