"n","mode","k","time"
1000,"block",1,3.02071542739868
1000,"cyclic",1,3.29820604324341
2000,"block",1,29.9955593585968
2000,"cyclic",1,29.1345999240875
3000,"block",1,105.861933374405
3000,"cyclic",1,108.58442773819
4000,"block",1,275.378310871124
4000,"cyclic",1,279.119804430008
5000,"block",1,572.008477020264
5000,"cyclic",1,574.494315290451
1000,"block",2,2.35006012916565
1000,"cyclic",2,2.3846658706665
2000,"block",2,20.8966105461121
2000,"cyclic",2,18.0436718940735
3000,"block",2,75.8844077110291
3000,"cyclic",2,58.5575235843658
4000,"block",2,191.179566383362
4000,"cyclic",2,142.717001056671
5000,"block",2,399.527839374542
5000,"cyclic",2,304.034519433975
1000,"block",3,1.81495065689087
1000,"cyclic",3,1.67460050582886
2000,"block",3,15.069283246994
2000,"cyclic",3,13.1171432971954
3000,"block",3,53.3116652965546
3000,"cyclic",3,41.915208864212
4000,"block",3,136.528243970871
4000,"cyclic",3,98.4181488037109
5000,"block",3,289.811078882217
5000,"cyclic",3,204.253156709671
1000,"block",4,1.41769547462463
1000,"cyclic",4,1.2987943649292
2000,"block",4,12.1891950130463
2000,"cyclic",4,10.2188325405121
3000,"block",4,41.2853614330292
3000,"cyclic",4,34.1358598232269
4000,"block",4,105.799659538269
4000,"cyclic",4,77.7553654193878
5000,"block",4,224.3442466259
5000,"cyclic",4,159.356078529358
1000,"block",5,1.30207147598267
1000,"cyclic",5,1.14642066955566
2000,"block",5,9.84900541305542
2000,"cyclic",5,8.44787573814392
3000,"block",5,34.063139629364
3000,"cyclic",5,28.9386662006378
4000,"block",5,88.2488177776337
4000,"cyclic",5,65.1550462722778
5000,"block",5,179.85051279068
5000,"cyclic",5,137.217437934875
1000,"block",6,1.07976303100586
1000,"cyclic",6,1.05702667236328
2000,"block",6,8.44205904006958
2000,"cyclic",6,7.45398631095886
3000,"block",6,29.4187596321106
3000,"cyclic",6,25.4027019023895
4000,"block",6,74.3491551399231
4000,"cyclic",6,57.1455122470856
5000,"block",6,155.548814725876
5000,"cyclic",6,119.707202672958
1000,"block",7,1.13904490470886
1000,"cyclic",7,1.49444422721863
2000,"block",7,8.43718323707581
2000,"cyclic",7,10.7847897052765
3000,"block",7,28.6101962566376
3000,"cyclic",7,33.9301433086395
4000,"block",7,70.2707711219788
4000,"cyclic",7,76.8152663230896
5000,"block",7,147.930018615723
5000,"cyclic",7,158.034088516235
1000,"block",8,1.29503240585327
1000,"cyclic",8,1.53155155181885
2000,"block",8,8.84699845314026
2000,"cyclic",8,10.4379012107849
3000,"block",8,28.6724251270294
3000,"cyclic",8,33.0661904335022
4000,"block",8,68.701585817337
4000,"cyclic",8,72.6847565174103
5000,"block",8,144.497186517715
5000,"cyclic",8,151.992524290085
1000,"block",9,1.29393720626831
1000,"cyclic",9,1.61221079826355
2000,"block",9,9.14063315391541
2000,"cyclic",9,10.359868478775
3000,"block",9,29.1747013092041
3000,"cyclic",9,32.6947442531586
4000,"block",9,67.8509782314301
4000,"cyclic",9,73.0540881633759
5000,"block",9,139.74571428299
5000,"cyclic",9,157.795046567917
1000,"block",10,1.32989172935486
1000,"cyclic",10,1.6275267124176
2000,"block",10,8.94812479019165
2000,"cyclic",10,10.2446564674377
3000,"block",10,29.4104479312897
3000,"cyclic",10,32.0646145820618
4000,"block",10,67.3612097740173
4000,"cyclic",10,74.2148607730865
5000,"block",10,134.332118034363
5000,"cyclic",10,160.598435974121
