"n","k","s","time","iters"
1000,1,0,8.62299084663391,2303
1000,1,1,8.83714723587036,2359
1000,1,2,9.16622591018677,2443
1000,1,3,8.62250471115112,2291
1000,1,4,7.96320366859436,2237
2000,1,0,48.9193572998047,3972
2000,1,1,47.6937112808228,3901
2000,1,2,46.8727672100067,3929
2000,1,3,41.7402439117432,3885
2000,1,4,41.867388010025,3910
3000,1,0,129.628870725632,5270
3000,1,1,109.833660125732,5239
3000,1,2,92.7302193641663,5187
3000,1,3,83.7331964969635,5224
3000,1,4,84.3616552352905,5301
4000,1,0,260.277955770493,6510
4000,1,1,210.921713113785,6351
4000,1,2,191.502987623215,6446
4000,1,3,172.359041929245,6420
4000,1,4,158.105324745178,6355
5000,1,0,418.849476099014,7561
5000,1,1,323.558873414993,7514
5000,1,2,277.834740877151,7566
5000,1,3,221.617608547211,7452
5000,1,4,219.661972284317,7395
1000,2,0,5.18318390846252,2303
1000,2,1,5.32582020759583,2359
1000,2,2,5.5273871421814,2443
1000,2,3,5.19022154808044,2291
1000,2,4,5.06021595001221,2237
2000,2,0,27.4459507465363,3972
2000,2,1,26.9533035755157,3901
2000,2,2,26.8981926441193,3929
2000,2,3,26.5069618225098,3885
2000,2,4,26.6744525432587,3910
3000,2,0,71.4635903835297,5270
3000,2,1,69.4993929862976,5239
3000,2,2,61.3714301586151,5187
3000,2,3,61.4153888225555,5224
3000,2,4,61.7761509418488,5301
4000,2,0,143.597455978394,6510
4000,2,1,122.697552442551,6351
4000,2,2,115.949506998062,6446
4000,2,3,107.505550146103,6420
4000,2,4,106.674372196198,6355
5000,2,0,235.111611843109,7561
5000,2,1,194.509345293045,7514
5000,2,2,180.761697292328,7566
5000,2,3,154.1390376091,7452
5000,2,4,152.950776338577,7395
1000,3,0,3.7125461101532,2303
1000,3,1,3.78329229354858,2359
1000,3,2,3.92540884017944,2443
1000,3,3,3.67017269134521,2291
1000,3,4,3.60674118995666,2237
2000,3,0,16.9718379974365,3972
2000,3,1,17.7778596878052,3901
2000,3,2,17.8553535938263,3929
2000,3,3,17.6637876033783,3885
2000,3,4,16.0525979995728,3910
3000,3,0,45.7617607116699,5270
3000,3,1,42.9431133270264,5239
3000,3,2,36.0356786251068,5187
3000,3,3,35.5465838909149,5224
3000,3,4,32.3546078205109,5301
4000,3,0,85.4141833782196,6510
4000,3,1,73.1482965946198,6351
4000,3,2,69.5407242774963,6446
4000,3,3,60.7511537075043,6420
4000,3,4,60.3087174892426,6355
5000,3,0,138.229085206985,7561
5000,3,1,113.412966966629,7514
5000,3,2,101.716294050217,7566
5000,3,3,79.8013784885407,7452
5000,3,4,78.9696900844574,7395
1000,4,0,2.75902390480041,2303
1000,4,1,2.87549638748169,2359
1000,4,2,2.98116111755371,2443
1000,4,3,2.79257154464722,2291
1000,4,4,2.67796468734741,2237
2000,4,0,13.6564621925354,3972
2000,4,1,14.0903091430664,3901
2000,4,2,14.2362611293793,3929
2000,4,3,14.1021649837494,3885
2000,4,4,14.1715290546417,3910
3000,4,0,34.9204909801483,5270
3000,4,1,35.2094576358795,5239
3000,4,2,29.3261048793793,5187
3000,4,3,27.8502762317657,5224
3000,4,4,28.3133158683777,5301
4000,4,0,70.6178498268127,6510
4000,4,1,55.7159252166748,6351
4000,4,2,51.5401315689087,6446
4000,4,3,43.2900221347809,6420
4000,4,4,41.0080780982971,6355
5000,4,0,113.730953931808,7561
5000,4,1,86.7931060791016,7514
5000,4,2,70.3501391410828,7566
5000,4,3,62.5967564582825,7452
5000,4,4,61.9622039794922,7395
1000,5,0,2.36027073860168,2303
1000,5,1,2.58595585823059,2359
1000,5,2,2.66967725753784,2443
1000,5,3,2.51436853408813,2291
1000,5,4,2.44662976264954,2237
2000,5,0,11.1886787414551,3972
2000,5,1,10.6423518657684,3901
2000,5,2,11.710501909256,3929
2000,5,3,11.6013479232788,3885
2000,5,4,11.2512309551239,3910
3000,5,0,26.8198113441467,5270
3000,5,1,28.7493615150452,5239
3000,5,2,25.584876537323,5187
3000,5,3,25.6813962459564,5224
3000,5,4,26.1399421691895,5301
4000,5,0,54.9230468273163,6510
4000,5,1,49.0022690296173,6351
4000,5,2,47.2817738056183,6446
4000,5,3,43.6698944568634,6420
4000,5,4,43.4404149055481,6355
5000,5,0,90.3114829063416,7561
5000,5,1,79.4311435222626,7514
5000,5,2,73.7427461147308,7566
5000,5,3,62.8860673904419,7452
5000,5,4,62.7899539470673,7395
1000,6,0,2.13259744644165,2303
1000,6,1,2.19175219535828,2359
1000,6,2,2.27045917510986,2443
1000,6,3,2.1240553855896,2291
1000,6,4,2.06710481643677,2237
2000,6,0,8.88692188262939,3972
2000,6,1,8.49741005897522,3901
2000,6,2,8.47715449333191,3929
2000,6,3,8.39429807662964,3885
2000,6,4,8.42305731773376,3910
3000,6,0,20.4876656532288,5270
3000,6,1,19.8212013244629,5239
3000,6,2,18.3583083152771,5187
3000,6,3,18.1733672618866,5224
3000,6,4,18.4984171390533,5301
4000,6,0,37.3436238765717,6510
4000,6,1,32.4259111881256,6351
4000,6,2,31.7608413696289,6446
4000,6,3,29.1280076503754,6420
4000,6,4,28.8679716587067,6355
5000,6,0,59.1264441013336,7561
5000,6,1,52.9123873710632,7514
5000,6,2,48.9496073722839,7566
5000,6,3,42.9939668178558,7452
5000,6,4,42.7354974746704,7395
1000,7,0,1.72564744949341,2303
1000,7,1,1.576247215271,2359
1000,7,2,1.62509441375732,2443
1000,7,3,1.52191829681396,2291
1000,7,4,1.4770290851593,2237
2000,7,0,6.19359850883484,3972
2000,7,1,5.71087861061096,3901
2000,7,2,5.63287472724915,3929
2000,7,3,5.64051461219788,3885
2000,7,4,5.61755442619324,3910
3000,7,0,13.5448708534241,5270
3000,7,1,13.0379481315613,5239
3000,7,2,11.5964670181274,5187
3000,7,3,11.563159942627,5224
3000,7,4,11.6754686832428,5301
4000,7,0,30.1852877140045,6510
4000,7,1,29.4252624511719,6351
4000,7,2,26.7665605545044,6446
4000,7,3,26.4358730316162,6420
4000,7,4,26.0874698162079,6355
5000,7,0,47.7897591590881,7561
5000,7,1,43.2836096286774,7514
5000,7,2,42.5528168678284,7566
5000,7,3,38.5448911190033,7452
5000,7,4,38.1119616031647,7395
1000,8,0,1.8540723323822,2303
1000,8,1,1.76968431472778,2359
1000,8,2,1.8293890953064,2443
1000,8,3,1.71793341636658,2291
1000,8,4,1.68127393722534,2237
3000,8,0,15.4960932731628,5270
3000,8,1,14.8591120243073,5239
3000,8,2,14.6616835594177,5187
3000,8,3,14.8274216651917,5224
3000,8,4,15.3179433345795,5301
4000,8,0,27.6748933792114,6510
4000,8,1,26.0619866847992,6351
4000,8,2,26.5009317398071,6446
4000,8,3,24.0852208137512,6420
4000,8,4,23.8879237174988,6355
5000,8,0,43.8291709423065,7561
5000,8,1,41.7860462665558,7514
5000,8,2,38.3222088813782,7566
5000,8,3,37.6463470458984,7452
5000,8,4,42.8711206912994,7395
