"n","k","s","time","iters"
1000,1,0,2.85673189163208,3109
1000,1,1,2.85758566856384,3179
1000,1,2,3.01892924308777,3298
1000,1,3,2.805180311203,3092
1000,1,4,2.78247261047363,3016
2000,1,0,16.5207476615906,6295
2000,1,1,16.2126383781433,6191
2000,1,2,16.3631062507629,6250
2000,1,3,16.2777140140533,6177
2000,1,4,16.3739380836487,6215
3000,1,0,46.8080022335053,9344
3000,1,1,46.2886757850647,9285
3000,1,2,45.9655766487122,9201
3000,1,3,46.3758099079132,9249
3000,1,4,46.9544999599457,9384
4000,1,0,99.6971235275269,12566
4000,1,1,97.116783618927,12252
4000,1,2,99.4019610881805,12415
4000,1,3,98.5535852909088,12424
4000,1,4,97.4959905147552,12267
5000,1,0,178.668941259384,15677
5000,1,1,179.32728433609,15560
5000,1,2,180.170129299164,15694
5000,1,3,179.186235427856,15506
5000,1,4,175.987056732178,15344
1000,2,0,1.69005846977234,3109
1000,2,1,1.71799230575562,3179
1000,2,2,1.77551198005676,3298
1000,2,3,1.67619609832764,3092
1000,2,4,1.63800501823425,3016
2000,2,0,9.29788136482239,6295
2000,2,1,9.16913414001465,6191
2000,2,2,9.1875638961792,6250
2000,2,3,9.11581993103027,6177
2000,2,4,9.15970087051392,6215
3000,2,0,27.446163892746,9344
3000,2,1,27.3643555641174,9285
3000,2,2,27.0821805000305,9201
3000,2,3,27.2856831550598,9249
3000,2,4,27.5139942169189,9384
4000,2,0,60.6710829734802,12566
4000,2,1,59.1209833621979,12252
4000,2,2,59.1179270744324,12415
4000,2,3,60.6986417770386,12424
4000,2,4,58.9430520534515,12267
5000,2,0,110.789343833923,15677
5000,2,1,110.796491384506,15560
5000,2,2,111.731461524963,15694
5000,2,3,111.063436985016,15506
5000,2,4,110.142493724823,15344
1000,3,0,1.24998927116394,3109
1000,3,1,1.26620006561279,3179
1000,3,2,1.30729007720947,3298
1000,3,3,1.23646879196167,3092
1000,3,4,1.21360516548157,3016
2000,3,0,7.06868386268616,6295
2000,3,1,6.92912077903748,6191
2000,3,2,6.99351930618286,6250
2000,3,3,6.89725661277771,6177
2000,3,4,6.93768954277039,6215
3000,3,0,21.4455318450928,9344
3000,3,1,21.3001742362976,9285
3000,3,2,21.0765511989594,9201
3000,3,3,21.2593202590942,9249
3000,3,4,21.482816696167,9384
4000,3,0,48.9477615356445,12566
4000,3,1,47.6306121349335,12252
4000,3,2,48.3230786323547,12415
4000,3,3,48.4590041637421,12424
4000,3,4,47.782701253891,12267
5000,3,0,90.3403043746948,15677
5000,3,1,89.4987180233002,15560
5000,3,2,90.1863176822662,15694
5000,3,3,89.96426653862,15506
5000,3,4,89.2179763317108,15344
1000,4,0,1.09599590301514,3109
1000,4,1,1.10941457748413,3179
1000,4,2,1.14365696907043,3298
1000,4,3,1.07229161262512,3092
1000,4,4,1.05744743347168,3016
2000,4,0,6.31203079223633,6295
2000,4,1,6.19338917732239,6191
2000,4,2,6.27068591117859,6250
2000,4,3,6.18217873573303,6177
2000,4,4,6.18961644172668,6215
3000,4,0,19.1135828495026,9344
3000,4,1,19.031986951828,9285
3000,4,2,18.869989156723,9201
3000,4,3,18.9403729438782,9249
3000,4,4,19.130530834198,9384
4000,4,0,43.6020991802216,12566
4000,4,1,42.5440495014191,12252
4000,4,2,43.10679936409,12415
4000,4,3,43.1179144382477,12424
4000,4,4,42.6241192817688,12267
5000,4,0,82.3264198303223,15677
5000,4,1,81.9654633998871,15560
5000,4,2,82.6566359996796,15694
5000,4,3,81.5263607501984,15506
5000,4,4,80.8455946445465,15344
1000,5,0,1.0393283367157,3109
1000,5,1,1.05559468269348,3179
1000,5,2,1.08739542961121,3298
1000,5,3,1.02745604515076,3092
1000,5,4,1.00792527198792,3016
2000,5,0,5.89117193222046,6295
2000,5,1,5.81152439117432,6191
2000,5,2,5.8476927280426,6250
2000,5,3,5.77439069747925,6177
2000,5,4,5.80381059646606,6215
3000,5,0,18.018878698349,9344
3000,5,1,17.9367413520813,9285
3000,5,2,17.7631964683533,9201
3000,5,3,17.8738477230072,9249
3000,5,4,18.0926461219788,9384
4000,5,0,41.4576227664948,12566
4000,5,1,40.5088386535645,12252
4000,5,2,41.0016276836395,12415
4000,5,3,41.0546495914459,12424
4000,5,4,40.5145373344421,12267
5000,5,0,78.9370284080505,15677
5000,5,1,78.493782043457,15560
5000,5,2,79.0424320697784,15694
5000,5,3,78.2054150104523,15506
5000,5,4,77.3803191184998,15344
1000,6,0,0.987512350082397,3109
1000,6,1,1.01017570495605,3179
1000,6,2,1.04242062568665,3298
1000,6,3,0.983303546905518,3092
1000,6,4,0.959974765777588,3016
2000,6,0,5.77722382545471,6295
2000,6,1,5.71086049079895,6191
2000,6,2,5.74050283432007,6250
2000,6,3,5.68053865432739,6177
2000,6,4,5.70890831947327,6215
3000,6,0,17.8826539516449,9344
3000,6,1,17.8040478229523,9285
3000,6,2,17.5964994430542,9201
3000,6,3,17.7324137687683,9249
3000,6,4,17.9231734275818,9384
